,precision,recall,f1-score,support
antelope,1.0,0.8333333333333334,0.9090909090909091,12.0
badger,0.9230769230769231,1.0,0.96,12.0
bat,1.0,1.0,1.0,12.0
bear,1.0,0.75,0.8571428571428571,12.0
bee,1.0,0.9166666666666666,0.9565217391304348,12.0
beetle,0.9230769230769231,1.0,0.96,12.0
bison,1.0,0.9166666666666666,0.9565217391304348,12.0
boar,1.0,0.9166666666666666,0.9565217391304348,12.0
butterfly,1.0,0.75,0.8571428571428571,12.0
cat,1.0,0.9166666666666666,0.9565217391304348,12.0
caterpillar,1.0,0.75,0.8571428571428571,12.0
chimpanzee,0.9230769230769231,1.0,0.96,12.0
cockroach,0.9230769230769231,1.0,0.96,12.0
cow,0.9,0.75,0.8181818181818182,12.0
coyote,0.9230769230769231,1.0,0.96,12.0
crab,1.0,0.9166666666666666,0.9565217391304348,12.0
crow,1.0,1.0,1.0,12.0
deer,0.9230769230769231,1.0,0.96,12.0
dog,0.9230769230769231,1.0,0.96,12.0
dolphin,0.9,0.75,0.8181818181818182,12.0
donkey,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
dragonfly,1.0,1.0,1.0,12.0
duck,1.0,0.9166666666666666,0.9565217391304348,12.0
eagle,1.0,1.0,1.0,12.0
elephant,1.0,0.9166666666666666,0.9565217391304348,12.0
flamingo,1.0,1.0,1.0,12.0
fly,1.0,1.0,1.0,12.0
fox,1.0,0.9166666666666666,0.9565217391304348,12.0
goat,0.8461538461538461,0.9166666666666666,0.88,12.0
goldfish,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
goose,1.0,0.9166666666666666,0.9565217391304348,12.0
gorilla,1.0,0.9166666666666666,0.9565217391304348,12.0
grasshopper,0.9230769230769231,1.0,0.96,12.0
hamster,1.0,1.0,1.0,12.0
hare,1.0,1.0,1.0,12.0
hedgehog,1.0,1.0,1.0,12.0
hippopotamus,0.8571428571428571,1.0,0.9230769230769231,12.0
hornbill,1.0,1.0,1.0,12.0
horse,0.8461538461538461,0.9166666666666666,0.88,12.0
hummingbird,1.0,1.0,1.0,12.0
hyena,1.0,1.0,1.0,12.0
jellyfish,1.0,1.0,1.0,12.0
kangaroo,1.0,1.0,1.0,12.0
koala,0.9230769230769231,1.0,0.96,12.0
ladybugs,1.0,1.0,1.0,12.0
leopard,1.0,1.0,1.0,12.0
lion,1.0,0.9166666666666666,0.9565217391304348,12.0
lizard,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
lobster,0.9230769230769231,1.0,0.96,12.0
mosquito,1.0,1.0,1.0,12.0
moth,0.75,1.0,0.8571428571428571,12.0
mouse,0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0
octopus,1.0,0.5,0.6666666666666666,12.0
okapi,1.0,1.0,1.0,12.0
orangutan,1.0,1.0,1.0,12.0
otter,1.0,1.0,1.0,12.0
owl,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
ox,1.0,1.0,1.0,12.0
oyster,0.8571428571428571,1.0,0.9230769230769231,12.0
panda,1.0,0.9166666666666666,0.9565217391304348,12.0
parrot,0.9230769230769231,1.0,0.96,12.0
pelecaniformes,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
penguin,0.8571428571428571,1.0,0.9230769230769231,12.0
pig,0.9230769230769231,1.0,0.96,12.0
pigeon,1.0,0.9166666666666666,0.9565217391304348,12.0
porcupine,0.9230769230769231,1.0,0.96,12.0
possum,0.9230769230769231,1.0,0.96,12.0
raccoon,1.0,1.0,1.0,12.0
rat,0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0
reindeer,0.8571428571428571,1.0,0.9230769230769231,12.0
rhinoceros,0.8461538461538461,0.9166666666666666,0.88,12.0
sandpiper,0.8571428571428571,1.0,0.9230769230769231,12.0
seahorse,1.0,1.0,1.0,12.0
seal,0.9230769230769231,1.0,0.96,12.0
shark,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
sheep,1.0,1.0,1.0,12.0
snake,1.0,1.0,1.0,12.0
sparrow,0.9230769230769231,1.0,0.96,12.0
squid,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0
squirrel,0.9230769230769231,1.0,0.96,12.0
starfish,0.9230769230769231,1.0,0.96,12.0
swan,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
tiger,1.0,1.0,1.0,12.0
turkey,1.0,1.0,1.0,12.0
turtle,1.0,0.9166666666666666,0.9565217391304348,12.0
whale,0.7142857142857143,0.8333333333333334,0.7692307692307693,12.0
wolf,1.0,0.9166666666666666,0.9565217391304348,12.0
wombat,1.0,0.9166666666666666,0.9565217391304348,12.0
woodpecker,1.0,0.9166666666666666,0.9565217391304348,12.0
zebra,1.0,1.0,1.0,12.0
accuracy,0.9398148148148148,0.9398148148148148,0.9398148148148148,0.9398148148148148
macro avg,0.9443957893957895,0.9398148148148148,0.9388620114900309,1080.0
weighted avg,0.9443957893957894,0.9398148148148148,0.9388620114900308,1080.0
