,precision,recall,f1-score,support
antelope,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
badger,1.0,1.0,1.0,12.0
bat,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
bear,0.9,0.75,0.8181818181818182,12.0
bee,1.0,1.0,1.0,12.0
beetle,1.0,1.0,1.0,12.0
bison,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
boar,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
butterfly,1.0,1.0,1.0,12.0
cat,1.0,1.0,1.0,12.0
caterpillar,1.0,0.8333333333333334,0.9090909090909091,12.0
chimpanzee,1.0,1.0,1.0,12.0
cockroach,0.8571428571428571,1.0,0.9230769230769231,12.0
cow,0.9,0.75,0.8181818181818182,12.0
coyote,0.8571428571428571,1.0,0.9230769230769231,12.0
crab,1.0,1.0,1.0,12.0
crow,1.0,1.0,1.0,12.0
deer,0.8461538461538461,0.9166666666666666,0.88,12.0
dog,0.9230769230769231,1.0,0.96,12.0
dolphin,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
donkey,1.0,0.75,0.8571428571428571,12.0
dragonfly,1.0,1.0,1.0,12.0
duck,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
eagle,1.0,1.0,1.0,12.0
elephant,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
flamingo,1.0,0.9166666666666666,0.9565217391304348,12.0
fly,1.0,1.0,1.0,12.0
fox,1.0,0.8333333333333334,0.9090909090909091,12.0
goat,0.9,0.75,0.8181818181818182,12.0
goldfish,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
goose,1.0,0.9166666666666666,0.9565217391304348,12.0
gorilla,1.0,1.0,1.0,12.0
grasshopper,0.9230769230769231,1.0,0.96,12.0
hamster,1.0,1.0,1.0,12.0
hare,1.0,1.0,1.0,12.0
hedgehog,1.0,1.0,1.0,12.0
hippopotamus,1.0,1.0,1.0,12.0
hornbill,1.0,1.0,1.0,12.0
horse,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0
hummingbird,1.0,1.0,1.0,12.0
hyena,1.0,0.9166666666666666,0.9565217391304348,12.0
jellyfish,1.0,1.0,1.0,12.0
kangaroo,1.0,1.0,1.0,12.0
koala,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
ladybugs,1.0,1.0,1.0,12.0
leopard,1.0,1.0,1.0,12.0
lion,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
lizard,1.0,0.8333333333333334,0.9090909090909091,12.0
lobster,1.0,1.0,1.0,12.0
mosquito,1.0,1.0,1.0,12.0
moth,0.9,0.75,0.8181818181818182,12.0
mouse,0.75,0.75,0.75,12.0
octopus,0.8571428571428571,0.5,0.631578947368421,12.0
okapi,1.0,1.0,1.0,12.0
orangutan,1.0,1.0,1.0,12.0
otter,0.9230769230769231,1.0,0.96,12.0
owl,1.0,0.8333333333333334,0.9090909090909091,12.0
ox,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
oyster,0.9230769230769231,1.0,0.96,12.0
panda,1.0,1.0,1.0,12.0
parrot,0.9230769230769231,1.0,0.96,12.0
pelecaniformes,1.0,0.9166666666666666,0.9565217391304348,12.0
penguin,1.0,1.0,1.0,12.0
pig,0.8,1.0,0.8888888888888888,12.0
pigeon,1.0,0.9166666666666666,0.9565217391304348,12.0
porcupine,0.9230769230769231,1.0,0.96,12.0
possum,0.625,0.8333333333333334,0.7142857142857143,12.0
raccoon,1.0,0.9166666666666666,0.9565217391304348,12.0
rat,0.6153846153846154,0.6666666666666666,0.64,12.0
reindeer,0.9230769230769231,1.0,0.96,12.0
rhinoceros,1.0,0.9166666666666666,0.9565217391304348,12.0
sandpiper,1.0,1.0,1.0,12.0
seahorse,1.0,1.0,1.0,12.0
seal,0.8571428571428571,1.0,0.9230769230769231,12.0
shark,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
sheep,1.0,0.8333333333333334,0.9090909090909091,12.0
snake,0.8571428571428571,1.0,0.9230769230769231,12.0
sparrow,1.0,1.0,1.0,12.0
squid,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0
squirrel,0.8571428571428571,1.0,0.9230769230769231,12.0
starfish,1.0,1.0,1.0,12.0
swan,0.9230769230769231,1.0,0.96,12.0
tiger,1.0,1.0,1.0,12.0
turkey,1.0,1.0,1.0,12.0
turtle,1.0,0.9166666666666666,0.9565217391304348,12.0
whale,0.8571428571428571,1.0,0.9230769230769231,12.0
wolf,1.0,1.0,1.0,12.0
wombat,1.0,0.9166666666666666,0.9565217391304348,12.0
woodpecker,1.0,0.9166666666666666,0.9565217391304348,12.0
zebra,1.0,1.0,1.0,12.0
accuracy,0.9361111111111111,0.9361111111111111,0.9361111111111111,0.9361111111111111
macro avg,0.9413317238317238,0.9361111111111112,0.9358635940342016,1080.0
weighted avg,0.9413317238317238,0.9361111111111111,0.9358635940342016,1080.0
