phase,epoch,epoch_in_phase,train_loss,train_accuracy,train_f1_macro,val_loss,val_accuracy,val_f1_macro,learning_rate,epoch_time_seconds
head,1,1,1.8428986491980377,0.6610082304526749,0.6556805504176711,0.6669757785620513,0.8958333333333334,0.8902930402930402,0.001,135.99097871780396
head,2,2,0.3971187265076264,0.9279835390946503,0.9275840989227799,0.4013906308898219,0.9259259259259259,0.9240556357223023,0.001,76.59762787818909
head,3,3,0.22160539901796192,0.9598765432098766,0.9598297352836018,0.3344961636596256,0.9282407407407407,0.9272643405976738,0.001,78.54556131362915
head,4,4,0.1431306807837859,0.9783950617283951,0.9784445416757612,0.2969520654943254,0.9444444444444444,0.9422539189205856,0.001,78.70701193809509
head,5,5,0.10279932658000247,0.9866255144032922,0.986612607073573,0.2800921146516447,0.9328703703703703,0.9323761423761422,0.001,81.17452764511108
finetune_last_denseblock,6,1,0.06795144600816715,0.9945987654320988,0.9945723199228135,0.24627242706440114,0.9398148148148148,0.9378499278499278,5e-05,89.25683236122131
finetune_last_denseblock,7,2,0.048354552422531345,0.9958847736625515,0.9958908519281836,0.23186753855811226,0.9398148148148148,0.938596280262947,5e-05,79.83025193214417
finetune_last_denseblock,8,3,0.033406054302130214,0.9976851851851852,0.9976949018564214,0.22179849666577797,0.9444444444444444,0.9430800064133397,5e-05,80.1736307144165
finetune_last_denseblock,9,4,0.02904391511048309,0.9981995884773662,0.9981970498259003,0.21680848741972888,0.9490740740740741,0.9477152477152477,5e-05,80.75642156600952
finetune_last_denseblock,10,5,0.02280582479917954,0.9987139917695473,0.9987137805183494,0.22261051612871666,0.9467592592592593,0.9459026775693442,5e-05,80.63357210159302
