phase,epoch,epoch_in_phase,train_loss,train_accuracy,train_f1_macro,val_loss,val_accuracy,val_f1_macro,learning_rate,epoch_time_seconds
head,1,1,1.7738400136001806,0.6854423868312757,0.6843427352498493,2.4200179930086487,0.8981481481481481,0.8979088812422145,0.001,116.5929479598999
head,2,2,0.2639546543972973,0.9462448559670782,0.9460327365794653,0.5365985256654245,0.9120370370370371,0.9072481222481223,0.001,81.57499408721924
head,3,3,0.12144704586193886,0.9783950617283951,0.978333691009064,0.30193040878684435,0.9166666666666666,0.9150456333789667,0.001,77.32488489151001
head,4,4,0.07180156144830915,0.9868827160493827,0.9868761747561557,0.25859133181748567,0.9398148148148148,0.9385751285751285,0.001,79.1353108882904
head,5,5,0.04569572382012512,0.9951131687242798,0.9951244192745389,0.2556494540638394,0.9305555555555556,0.9287582787582788,0.001,86.25089812278748
finetune_layer4,6,1,0.03411008333289084,0.9963991769547325,0.9964184083317282,0.2562036321119026,0.9305555555555556,0.9269087702421035,0.0001,93.35285115242004
finetune_layer4,7,2,0.018625578432968616,0.9987139917695473,0.9987137805183494,0.22803753669615145,0.9282407407407407,0.9266098099431431,0.0001,82.51143741607666
finetune_layer4,8,3,0.014659136376600452,0.9979423868312757,0.9979355769751543,0.22835986095446129,0.9375,0.9358173308173308,0.0001,81.67721486091614
finetune_layer4,9,4,0.010537733695634599,0.9992283950617284,0.9992244589944981,0.2212618363124353,0.9328703703703703,0.9291871091871092,0.0001,83.32648730278015
finetune_layer4,10,5,0.008143422381622802,0.9994855967078189,0.9994831342498685,0.2165113389492035,0.9351851851851852,0.9312000962000963,0.0001,84.72591853141785
